리뷰,rep,index,Processing
"물도 하류보다 맑아 보여, 풍경이 더 장관이었음.",2,17,"['물', '도', '하류', '보다', '맑다', '보이다', '풍경', '더', '장관', '이다']"
"다른곳보다 조용하고, 더 평온한 한강공원",0,18,"['곳', '보다', '조용하다', '더', '평온하다', '한강', '공원']"
"일상 스트레스는 시원한 강바람에 날려가고
한강변 잔디밭에 앉은 가족과 친구와 이웃과는
건강의 자리이자 행복의 광장....",0,19,"['일상', '스트레스', '는', '시원하다', '강바람', '날다', '\r\n', '한', '강변', '잔디밭', '앉다', '가족', '친구', '이웃', '과는', '\r\n', '건강', '자리', '이자', '행복', '광장', '....']"
"준비물 필요없이 산책 걷고 달리고 자전거
족구 농구 배구 축구 배드민턴 연날리기 체육시설
식음료 모든게 갖춰진 서울의 자랑거리",1,19,"['준비물', '필요없다', '산책', '걷다', '달리', '고', '자전거', '\r\n', '족구', '농구', '배구', '축구', '배드민턴', '연날리기', '체육', '시설', '\r\n', '식', '음료', '모든', '게', '갖추다', '서울', '자랑거리']"
장미꽃들이 만발하여 너무 이쁘구 힐링이 아주 잘되는곳임니다~~,0,20,"['장미꽃', '만발', '하다', '너무', '이쁘다', '힐링', '아주', '잘', '되다', '곳', '이다', '~~']"
하남가기전 보급할 수 있는 국토종주코스..,0,21,"['하남', '기전', '보급', '하다', '수', '국토', '종', '주', '코스', '..']"
정신과 시간의 방전에 보급 필수,1,21,"['정신과', '방전', '보급', '필수']"
수심은 낮지만 놀만 합니다.,0,22,"['수심', '은', '낮', '놀', '만', '하다']"
입장료가 너무 싸잖아요ㅎ,1,22,"['입장료', '너무', '싸다', 'ㅎ']"
휴식타임에 부유물좀 잘 제거하시고 물샤워 안하고 샴푸제품 쓰시는 분들 철저히 단속좀 해주세요.,2,22,"['휴식', '타임', '부', '유물', '자다', '제거', '하다', '물', '샤워', '안', '하고', '샴푸', '제품', '쓰시', '는', '분들', '철저하다', '단속', '해주다']"
화장실에어컨이 돌아가는 시원한 화장실인데 문을 활짝열고다녀서 전력낭비가 심각합니다.,3,22,"['화장실', '에어컨', '돌아가다', '시원하다', '화장실', '인데', '문', '활짝', '열다', '다니다', '전력', '낭비', '심각하다']"
시민의식도 문제지만 요원들이 잘 봐야 할듯 합니다,4,22,"['시민', '의식', '도', '문제', '요원', '자다', '보다', '하다', '하다']"
