리뷰,rep,index,Processing
한강과 바로 맞다,1,14,"['한강', '맞다']"
아서 윈드서핑을 즐길수도 있고 강가로 가는길에 벤치도 있는 멋진곳입니다,2,14,"['아서', '윈드서핑', '즐기다', '강가', '가다', '길', '벤치', '도', '멋지다', '곳', '이다']"
산챡로엔 튤립도 심어있는데 이건 철마다 바뀌는것 같고 강가에서 네잎크로바를 15개나 찾아 기분 좋았던기억 이네요 ㅎㅎㅎ,3,14,"['산챡로', '엔', '튤립', '도', '심다', '이건', '철마', '다', '바뀌다', '강가', '잎', '크다', '바르다', '15', '개', '찾다', '기분', '좋다', '기억', '이다', 'ㅎㅎㅎ']"
난지한강공원 무더위에도 강바람이 부니 시원하네요,0,15,"['난', '지', '한강', '공원', '무더위', '에도', '강바람', '불다', '시원하다']"
자전거타시는 분들이 많네요,1,15,"['자전거', '분', '많다']"
그늘밑에 삼삼오오 모여서즐겁게 담소하시는 분들 오늘도 멋진하루 되셔요,2,15,"['그늘', '밑', '삼삼오오', '여서', '즐겁다', '담소', '하다', '분들', '오늘', '도', '멋지다', '하루', '되다']"
매일은 갈 수없지만 틈나면 가볼려고 애쓰는 장소이다.,0,16,"['매일', '은', '갈다', '수', '없다', '틈나다', '가보다', '애쓰다', '장소', '이다']"
"1.불광천 출발해서 월드컵 경기장옆을 지나, 한강입구 그리곤 가양대교를 향하면 넓직한 잔디밭과 올려다보는 높은 다리를 지나는 차량들이 분주해 보인다.",1,16,"['불광천', '출발', '하다', '월드컵', '경기장', '옆', '지나', '한강', '입구', '그리다', '가양대교', '향', '하다', '넓다', '직하다', '잔디밭', '올려다보다', '높다', '다리', '지나다', '차량', '분주하다', '보이다']"
일반 도로에서 보는 차량과는 전혀 다른 느낌의 살아있는 광경이다.,2,16,"['일반', '도로', '보다', '차량', '과는', '전혀', '느낌', '살다', '광경', '이다']"
그 아래를 지나다보면 잘  다듬어진 넓은잔디밭과 훤히 트인 한강의 전망은 가슴을 설레게한다.,3,16,"['아래', '지나다', '보다', '자다', '다듬어지다', '넓다', '잔디밭', '훤히', '트이다', '한강', '전망', '은', '가슴', '설레다', '하다']"
언듯 걷고싶은 충동에 신발을 벗어들고 맨발로 무한정 걸어도.,4,16,"['언듯', '걷다', '충동', '신발', '벗다', '들다', '맨발', '무한정', '걸다']"
편안하다.,5,16,['편안하다']
푹신한 잔디가.,6,16,"['푹신하다', '잔디']"
온몸을 감싼다.,7,16,"['온몸', '감싸다']"
주변의 경치에 매료되어 지루할 틈도없고 아무생각도 없이 무작정 발걸음만 세면서 걷게된다.,8,16,"['주변', '경치', '매료', '되어다', '지루하다', '틈', '도', '없다', '아무', '생각', '도', '없이', '무작정', '발걸음', '만', '세면', '서', '걷다', '되다']"
공연보러 왔는데 하늘도 너무 이쁘고 날씨도 좋고 넓고 깨끗하고 공연도 잘 즐기고 갑니다!!,0,17,"['공연', '보다', '오다', '하늘', '도', '너무', '이쁘다', '날씨', '도', '좋다', '넓다', '깨끗하다', '공연', '도', '자다', '즐기다', '가다', '!!']"
