리뷰,rep,index,Processing
한강공원 중에서 제일 좋아하는 곳이다.,2,24,"['한강', '공원', '중', '제일', '좋아하다', '곳', '이다']"
딱 서울같아요ㅎㅎ,0,25,"['서울', 'ㅎㅎ']"
한강이랑 높은 빌딩들 산책하기 좋아요ㅎㅎ,1,25,"['한강', '이랑', '높다', '빌딩', '산책', '하다', '좋다', 'ㅎㅎ']"
자전거타는사람이랑 걷는사람 엄청많고 돗자리펴서 쉬고있는사람도 많았어요,2,25,"['자전거', '사람', '이랑', '걷다', '사람', '엄청', '많다', '돗자리', '펴다', '쉬다', '사람', '도', '많다']"
한가로운느낌ㅎㅎ,3,25,"['한가롭다', '느낌', 'ㅎㅎ']"
여기는 언제가 좋은곳이고 편안하다.,0,26,"['여기다', '좋다', '곳', '이고', '편안하다']"
동작대교쪽 흙길 더 좋음.,1,26,"['동작대교', '쪽', '흙길', '더', '좋다']"
캠핑존도 있어 많은 가족이 쉬는곳.,2,26,"['캠핑', '존', '도', '많다', '가족', '쉬다', '곳']"
주차비가 있습니다,3,26,"['주', '차비']"
토요일 오후 이촌 한강공원에서 많은 시민들이 휴식을 취하고 있네요.,0,27,"['토요일', '오후', '이촌', '한강', '공원', '많다', '시민', '휴식', '취하', '고']"
이촌한강공원은 조금 더 활기차고 운동을 즐기는 사람들로 가득합니다.,0,28,"['이촌', '한강', '공원', '은', '더', '활기차다', '운동', '즐기다', '사람', '가득하다']"
"오후에 나오면 햇빛이 사람 쪽으로 비치는 탓에 한강 사진은 다소 아쉽게 나오지만, 자연의 여유를 즐기기에는 좋은 환경입니다.",1,28,"['오후', '나오다', '햇빛', '사람', '쪽', '비치다', '탓', '한강', '사진', '은', '아쉽다', '나오다', '자연', '여유', '즐', '기기', '에는', '좋다', '환경', '이다']"
중간중간 조형물과 스포츠 공간이 많아 즐길거리가 많습니다.,2,28,"['중간', '중간', '조형', '물', '스포츠', '공간', '많다', '즐기다', '거리', '많다']"
역에서는 다소 멀지만 주차장이 잘 갖추어져 있고 여의도 등 기타 한강공원에 비해 사람이 적은 편.,0,29,"['역', '에서는', '멀다', '주차장', '자다', '갖추다', '여의도', '한강', '공원', '비다', '사람', '적다', '편']"
7시 이후에는 텐트 및 그늘막을 설치할 수 없음.,1,29,"['7시', '이후', '에는', '텐트', '그늘', '막', '설치', '하다', '수', '없다']"
GS25 에서 간단한 음식 (라면 포함) 및 주류 구매 가능하나 물건은 많이 없는 편이고 할인도 거의 없으니 다른 곳에서 사오는 것이 나,2,29,"['GS', '25', '간단하다', '음식', '라면', '포함', '주류', '구매', '가능하다', '물건', '은', '많이', '없다', '편이', '고', '할인', '도', '없다', '곳', '사오다']"
음.,3,29,['음']
와인병은 편의점 휴지통에 버릴 수 없으니 화장실 쪽 휴지통에 버려야함.,4,29,"['와인', '병', '은', '편의점', '휴지통', '버리다', '수', '없다', '화장실', '쪽', '휴지통', '버리다', '야하다']"
멋 부리지 않은 잔디밭에만 충실한 공원이라 좋으며 63빌딩 쪽으로 해가 지는 멋진 모습을 감상할 수 있음.,5,29,"['멋', '부리', '지', '않다', '잔디밭', '에만', '충실하다', '공원', '이라', '좋다', '63', '빌딩', '쪽', '해', '지다', '멋지다', '모습', '감상', '하다', '수']"
"봄 가을 맑은날에 찾으면, 전세계 어느 공원에 비교해도 손색없는 곳.",6,29,"['봄', '가을', '맑은', '날', '찾다', '전세계', '공원', '비교', '하다', '손색', '없다', '곳']"
한강은언제나좋네요~^^,0,30,"['한강', '은', '언제나', '좋다', '~^^']"
"아이들인라인강습으로왔는데
자주올꺼같아요~",1,30,"['인', '라인', '강습', '오다', '\r\n', '자주', '오다']"
말모말모♡ 내가 사랑하는 공간~~두다리만 멀쩡하다면 사계절을 다 느낄수 있는 아름다운 곳,0,31,"['말', '모말', '♡', '내', '사랑', '하다', '공간', '~~', '두', '다리', '만', '멀쩡하다', '사계절', '다', '느끼다', '아름답다', '곳']"
집 근처라 자주 갑니다.,0,32,"['집', '근처', '라', '자주', '가다']"
휴식을 취하기에 매우 좋은 공원입니다.,1,32,"['휴식', '취하', '기', '매우', '좋다', '공원', '이다']"
