,지구,place_name,x,y
77,강서,한강공원강서3 개방화장실,126.82139097690693,37.58485145006388
78,강서,한강공원강서4 개방화장실,126.818945048663,37.5854946359535
79,강서,한강공원강서2 개방화장실,126.82440496184462,37.58286838329894
80,강서,한강공원양화6 개방화장실,126.87818052925256,37.55317175241785
81,뚝섬,한강공원뚝섬13 개방화장실,127.06655069643668,37.53025566638847
82,뚝섬,한강공원뚝섬8 개방화장실,127.07291984748818,37.528719302121495
83,뚝섬,뚝섬한강공원 화장실5,127.069066712069,37.5301334876025
84,뚝섬,한강공원뚝섬11 개방화장실,127.06636481462468,37.52987194440493
85,뚝섬,한강공원뚝섬10 개방화장실,127.069123239668,37.5300902064659
86,뚝섬,뚝섬 한강공원 화장실9,127.067586870224,37.5300946997063
87,뚝섬,한강공원뚝섬12 개방화장실,127.066503064456,37.5301259490256
88,뚝섬,한강공원뚝섬9 개방화장실,127.072148611054,37.529062156369
89,난지,한강공원난지3 개방화장실,126.88484225968878,37.56310832279222
90,난지,한강공원난지14 개방화장실,126.86433835296,37.574599456548
91,난지,한강공원난지7 개방화장실,126.87966931017002,37.564764600171145
92,난지,난지한강공원 화장실,126.888978423184,37.5605588613718
93,난지,캠핑장 내 개방화장실,126.87284163766375,37.56954893678264
94,난지,난지한강공원 화장실3,126.882570799032,37.5644485692582
95,난지,한강공원난지10 개방화장실,126.87634977121212,37.568038991542814
96,난지,난지한강공원 화장실5,126.879068379706,37.5661064696047
97,난지,난지한강공원 화장실2,126.884827498517,37.5631389422575
98,난지,한강공원난지1 개방화장실,126.88902939333128,37.560532780393096
99,난지,한강공원난지2 개방화장실,126.889003322977,37.5605588847832
100,난지,한강공원난지8 개방화장실,126.879175876005,37.5661273025623
101,난지,한강공원난지4 개방화장실,126.884822978061,37.5631344328676
102,난지,한강공원난지12 개방화장실,126.8740332182962,37.56908980578745
103,난지,한강공원난지9 개방화장실,126.8790457433171,37.56610554542019
104,반포,한강공원반포3 개방화장실,126.997794450189,37.5102730307013
105,반포,한강공원반포2 개방화장실,127.00230856518516,37.51318597573834
106,반포,반포한강공원4 개방화장실,126.99440140855413,37.50877454785081
107,반포,반포한강공원6 개방화장실,126.9812630746962,37.50547371408603
108,반포,한강공원반포1 개방화장실,127.002453345275,37.5131832698076
109,반포,한강공원반포5 개방화장실,126.991908733531,37.5077373468118
110,반포,한강공원잠원8 개방화장실,127.00884459876,37.5179808090652
111,반포,한강공원잠원7 개방화장실,127.012075619221,37.5205006288157
112,반포,한강공원이촌5 개방화장실,126.99335769907132,37.51894322497238
