,축제명,기간,시간,참여,장소,더보기,시작일,종료일
55,"책 읽는 한강공원, 북적북적",2023-06-17(토) ~ 2023-06-17(토),12:00~19:00,현장참여,뚝섬잔디마당,0,2023-06-17,2023-06-17
56,2023 찾아가는 체육관 [6월 행사],2023-06-02(금) ~ 2023-06-30(금),16:00~18:00,현장참여,반포달빛광장,0,2023-06-02,2023-06-30
57,2023 한강트레킹 참가자 모집 [본행사 6.24.],2023-06-12(월) ~ 2023-06-22(목),사전신청 6.12. 12:00~6.22. 13:00,사전신청(무작위 추첨),양화축구장,0,2023-06-12,2023-06-22
58,2023 서울 비보이 페스티벌,2023-06-03(토) ~ 2023-06-03(토),12:00~20:30,현장참여,노들섬,0,2023-06-03,2023-06-03
59,2023 서울시립교향악단 강변음악회,2023-06-03(토) ~ 2023-06-03(토),19:30,현장참여,여의도한강공원 이벤트광장,0,2023-06-03,2023-06-03
60,2023 서울 자전거 축제,2023-09-24(일) ~ 2023-09-24(일),11:00~18:00,사전신청 및 현장참여,반포달빛광장,0,2023-09-24,2023-09-24
61,2023 서울 아이언키즈 트라이애슬론대회 참가신청 <본행사 7.9.>,2023-05-23(화) ~ 2023-06-25(일),참가신청 5.23. 18시~ 선착순,사전신청(선착순),한강뚝섬유원지,0,2023-05-23,2023-06-25
62,2023 수상스포츠체험 참가자 4차 모집 [본행사 8.19.~9.3. 주말],2023-07-17(월) ~ 2023-07-28(금),본행사 8.19.~9.3. 매주 주말 중 1회 참가,사전신청,반포 더리버마리나,0,2023-07-17,2023-07-28
63,제2회 한강웨이크서핑 페스티벌,2023-05-27(토) ~ 2023-05-28(일),07:30~16:30,사전신청 5.1.~5.22.(선착순),상암 마린랜드,0,2023-05-27,2023-05-28
64,2023 문화가 흐르는 예술마당 11월 공연,2023-11-04(토) ~ 2023-11-25(토),매주 토요일 저녁 / 11.5.(일),현장참여 / 11.11.(토) 사전예약,노들섬,0,2023-11-04,2023-11-25
65,2023 한강 멍때리기 대회,2023-05-21(일) ~ 2023-05-21(일),15:00~19:00,"본행사는 사전신청, 부대행사는 현장참여",잠수교,0,2023-05-21,2023-05-21
66,2023 한강서래섬 유채꽃 축제,2023-05-12(금) ~ 2023-05-21(일),11:00~22:00,현장방문,서래섬,0,2023-05-12,2023-05-21
67,광진교8번가 11월 행사,2023-11-01(수) ~ 2023-11-30(목),(11월) 12:00~18:00,현장방문,광진교8번가,0,2023-11-01,2023-11-30
68,2023 한강달빛야시장 상반기 행사,2023-05-07(일) ~ 2023-06-11(일),매주 일요일 16:00 ~ 21:00,현장방문,반포한강공원 달빛광장,0,2023-05-07,2023-06-11
69,제4회 서울함공원 어린이날 특별행사,2023-05-05(금) ~ 2023-05-05(금),14:00 ~ 17:00,현장방문,서울함공원,0,2023-05-05,2023-05-05
